,Statistic,Party,Coefficient,p-val,r2,f_pval,Prob_omni,Durbin-Watson,Score
0,JongerDan5Jaar_13,D66,13.342869981739357,6.303529156046525e-219,0.11856913810817071,6.303529156084747e-219,0.0,1.295,3
1,JongerDan5Jaar_13,PVV,-0.010393240863612527,1.5449040520100656e-29,0.02828162056942163,1.5449040520124593e-29,0.0,0.701,1
2,JongerDan5Jaar_13,CDA,0.036410079176564566,3.483549069341249e-232,0.11370080272942573,3.48354906935795e-232,0.0,1.169,3
3,JongerDan5Jaar_13,SP,4.839732807519464,7.609654395863891e-138,0.09273596701693876,7.609654395881104e-138,0.0,1.275,3
4,JongerDan5Jaar_13,PvdA,1.2729023089101115,1.6626108678814155e-13,0.006430477837619297,1.6626108678857703e-13,0.0,1.667,2
5,JongerDan5Jaar_13,Groenlinks,-0.0052630822643300965,4.1399930191348503e-44,0.02485052896068507,4.139993019124157e-44,0.0,1.201,2
6,JongerDan5Jaar_13,FvD,8.346439778778502e-06,0.9966009013877237,1.2529435489128105e-08,0.9966009013886876,0.0,0.301,0
7,JongerDan5Jaar_13,PvdD,-0.00027021027246023753,4.351489328303921e-144,0.10738654603549114,4.351489328287316e-144,0.0,1.019,3
8,JongerDan5Jaar_13,CU,0.01759412649244994,1.9121622816798696e-143,0.11765130550432912,1.912162281676741e-143,0.0,1.258,3
9,JongerDan5Jaar_13,SGP,0.02786499894989667,2.9909290186654544e-185,0.17472574111133277,2.990929018654771e-185,0.0,1.385,3
10,JongerDan5Jaar_13,DENK,0.01661455533587263,1.1713001011007415e-19,0.05475347460113056,1.1713001011012488e-19,0.0,1.607,3
11,JongerDan5Jaar_13,VijftigPlus,15.910062337341614,2.2221852366753495e-54,0.07602864082535354,2.2221852366739047e-54,0.0,1.27,3
12,k_5Tot10Jaar_14,D66,14.864604900146523,2.3520893554850186e-209,0.11364446998555189,2.3520893554929154e-209,0.0,1.297,3
13,k_5Tot10Jaar_14,PVV,-0.006211959732095776,1.455188860826428e-11,0.01021742021563199,1.4551888608294688e-11,0.0,0.666,1
14,k_5Tot10Jaar_14,CDA,0.041946687756069245,2.1313742096963318e-238,0.11658527116882034,2.13137420970619e-238,0.0,1.073,3
15,k_5Tot10Jaar_14,SP,5.112248437546688,9.527068078242962e-117,0.07892005807352731,9.527068078264109e-117,0.0,1.223,3
16,k_5Tot10Jaar_14,PvdA,1.6886147414402077,6.842169811482253e-18,0.008773107376545464,6.842169811505256e-18,0.0,1.664,2
17,k_5Tot10Jaar_14,Groenlinks,-0.008855037989359084,3.5685232385317396e-96,0.05460565192174127,3.5685232385214427e-96,0.0,1.194,3
18,k_5Tot10Jaar_14,FvD,-0.08880832695478422,0.004093781781012742,0.00567368844669891,0.004093781781011505,0.0,0.148,1
19,k_5Tot10Jaar_14,PvdD,-0.0003500824248423724,4.742665940482699e-209,0.15258115201755473,4.742665940462959e-209,0.0,1.053,3
20,k_5Tot10Jaar_14,CU,0.02154500359250032,4.889442447148391e-166,0.13512018516479452,4.889442447143834e-166,0.0,1.275,3
21,k_5Tot10Jaar_14,SGP,0.03198112845610459,1.1585208673552403e-182,0.1724835238440775,1.1585208673527321e-182,0.0,1.42,3
22,k_5Tot10Jaar_14,DENK,0.001123973163789222,0.0108908806776037,0.004426053394662843,0.010890880677607982,0.0,1.548,2
23,k_5Tot10Jaar_14,VijftigPlus,-0.00555571777713313,2.3722415833085567e-48,0.06761560629132846,2.3722415833065837e-48,0.0,1.012,3
