colname_old,colname_new
RegioNaam,RegioNaam
municode,municode
AmsterdamseCode,AmsterdamseCode
OuderRegioNaam,OuderRegioNaam
OuderRegioCode,OuderRegioCode
Kiesgerechtigden,Kiesgerechtigden
Opkomst,Opkomst
OngeldigeStemmen,OngeldigeStemmen
BlancoStemmen,BlancoStemmen
GeldigeStemmen,GeldigeStemmen
VVD,VVD
Democraten 66 (D66),D66
D66,D66
PVV (Partij voor de Vrijheid),PVV
CDA,CDA
SP (Socialistische Partij),SP
Partij van de Arbeid (P.v.d.A.),PvdA
GL,Groenlinks
GROENLINKS,Groenlinks
Forum voor Democratie,FvD
Partij voor de Dieren,PvdD
ChristenUnie,CU
Volt,Volt
JA21,JA21
Staatkundig Gereformeerde Partij (SGP),SGP
DENK,DENK
50PLUS,VijftigPlus
BBB,BBB
BIJ1,Bijeen
CODE ORANJE,Code_Oranje
NIDA,NIDA
Splinter,Splinter
Piratenpartij,PiratenPartij
JONG,Jong
Trots op Nederland (TROTS),TROTS
Lijst Henk Krol,LHK
NLBeter,NLBeter
Blanco (Zeven A.J.L.B.),Lijst_Blanco
LP (Libertaire Partij),LP
OPRECHT,Oprecht
JEZUS LEEFT,Jezus_Leeft
DE FEESTPARTIJ (DFP),DFP
U-Buntu Connected Front,UCF
Vrij en Sociaal Nederland,VSN
Partij van de Eenheid,PvdE
Wij zijn Nederland,WZN
Partij voor de Republiek,PvdR
Modern Nederland,MN
"De Groenen,",Groenen
